PHONE_VERSION,CLASS5,CLASS6,CLASS7,CLASS8,CLASS9,CLASS10,CLASS11,CLASS12,CLASS13,CLASS14,CLASS15
'nokia c1-01',4,4,4,4,4,4,4,4,4,4,4
'sony ericsson x10a xperia',3,3,3,3,3,3,10,5,5,5,5
'htc a510s g13 wildfire s',1,5,5,5,5,5,5,11,11,11,11
'motorola milestone 2 a953',1,3,5,5,5,5,5,5,5,13,13
'sony xperia v lt25i',3,1,1,1,1,1,1,1,1,1,1
'motorola mb860 / me860 atrix 4g',3,3,3,3,3,3,3,5,5,5,5
'htc 710e g14 sensation',3,2,2,2,2,2,10,10,1,1,1
'xiaomi m2',3,1,1,1,1,1,1,1,12,12,12
'palm treo 850',4,4,4,4,4,4,4,4,4,4,4
'rim blackberry 9780 bold',1,5,6,6,6,6,6,6,6,11,11
'motorola mb525+',1,3,5,5,5,5,5,5,5,5,5
'samsung gt-i9003 galaxy s',3,3,5,5,5,5,5,5,5,5,5
'nokia e63',4,4,6,6,6,6,6,6,6,6,14
'nokia n78',4,4,4,4,4,4,4,4,4,6,14
'rim blackberry bold 9900',1,5,6,6,6,6,6,6,6,11,11
'nokia e71',4,4,6,6,6,6,6,6,6,6,14
'nokia e66',4,4,4,4,4,4,4,4,4,6,14
'nokia n80',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-i9220 / n700 galaxy s iii / galaxy note',3,1,1,1,1,1,1,1,1,1,1
'nokia 5320',4,4,4,4,4,4,4,4,4,6,14
'samsung gt-i9003 galaxy s / sl',3,3,5,5,5,5,5,5,5,5,5
'nokia 5228 / 5233',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-n7100 galaxy note ii',3,1,1,1,1,1,1,1,12,12,12
'nokia e90',4,4,6,6,6,6,6,6,6,6,14
'htc s510e desire s',3,3,5,5,5,5,10,10,10,10,10
'sony ericsson e16i w8 walkman',1,5,5,5,8,8,5,11,11,11,8
'nokia 5230',4,4,6,6,8,8,8,8,8,8,14
'sony ericsson mt11i xperia neo v',3,3,5,5,5,5,10,10,10,10,10
'nokia n900',1,5,3,3,8,8,8,8,8,13,13
'nokia 6300',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-p1000 galaxy tab',2,2,3,3,3,3,3,3,3,3,3
'nokia 5300',4,4,4,4,4,4,4,4,4,4,4
'htc a510e g13 wildfire s',1,5,5,5,5,5,5,11,11,11,11
'nokia 5233',4,4,4,4,4,4,4,4,4,4,4
'motorola me865 atrix 2',3,3,3,3,3,3,10,10,1,1,1
'apple iphone 4s',2,2,2,2,2,9,9,9,9,9,9
'sony lt29i xperia tx',3,1,1,1,1,1,1,1,1,1,1
'sony ericsson lt18i xperia arc s',3,3,5,5,5,5,10,10,10,10,10
'nokia e6-00',1,5,6,6,8,8,8,8,8,8,6
'htc google nexus one',1,3,5,5,5,5,5,5,5,5,5
'htc a8181 desire',1,3,5,5,5,5,5,5,5,5,5
'samsung gt-s5660 galaxy gio',1,5,5,5,5,5,5,11,11,11,11
'nokia c2-01',4,4,6,6,6,6,6,6,6,6,14
'lg p920 optimus 3d',3,3,3,3,3,3,3,5,5,5,5
'nokia lumia 920',2,2,2,2,2,9,2,2,2,2,2
'samsung gt i9300 galaxy s iii',3,1,1,1,1,1,1,1,12,12,12
'samsung sgh-t959',3,3,3,3,3,3,3,3,3,3,3
'i9100 gt-i9100 galaxy s ii',3,1,1,1,1,1,1,1,1,1,1
'samsung gt-i8160 galaxy ace ii',1,3,5,5,5,5,5,5,5,5,5
'meizu mx2',2,2,2,2,2,2,2,2,2,2,2
'nokia 6720 classic',4,4,6,6,6,6,6,6,6,6,14
'nokia 5800 xpressmusic',1,5,6,6,8,8,8,8,8,8,8
'nokia n97 / n97i',1,5,6,6,8,8,8,8,8,8,6
'samsung gt-i9220 / n7000 galaxy note',3,1,1,1,1,1,1,1,1,1,1
'samsung gt-i9000 galaxy',3,3,3,3,3,3,3,3,3,3,3
'htc desire s s510e',3,3,5,5,5,5,10,10,10,10,10
'nokia c5-00',4,4,6,6,6,6,6,6,6,6,14
'sony ericsson k750',4,4,4,4,4,4,4,4,4,4,4
'htc a9191 desire hd',3,3,5,5,5,5,10,10,10,10,10
'htc z710e/z715e (g14/g18) sensation xe',2,2,2,2,2,2,2,2,1,1,1
'sony st27i xperia go',2,2,2,2,2,2,2,2,2,2,2
'nokia n9',2,2,2,2,2,9,9,9,9,9,9
'htc hd2 t8585',3,3,5,5,5,5,5,5,5,5,5
'htc desire hd (a9191)',3,3,5,5,5,5,10,10,10,10,10
'samsung gt-s5830 galaxy ace',1,5,5,5,5,5,5,11,11,11,11
'sony ericsson lt15i xperia arc',3,3,5,5,5,5,10,10,10,10,10
'lenovo k860',3,1,1,1,1,1,1,1,12,12,12
'nokia lumia 900',2,2,2,2,2,9,9,9,9,9,9
'motorola q 9h',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-s5670 galaxy fit',1,5,5,5,5,5,5,11,11,11,11
'htc one v',3,3,5,5,5,5,10,10,10,10,10
'htc touch hd (t8282)',1,3,6,6,6,6,6,6,6,5,5
'samsung gt--i9100 galaxy s ii',3,1,1,1,1,1,1,1,1,1,1
'motorola mb525 defy',1,3,5,5,5,5,5,5,5,5,5
'samsung gt-s5830i galaxy ace',1,5,5,5,5,5,5,11,11,11,11
'htc 7 mozart t8698',3,3,5,5,5,9,10,5,5,5,5
'nokia c6-01',1,5,6,6,8,8,9,9,9,9,9
'samsung sgh-e720',4,4,4,4,4,4,4,4,4,4,4
'sony st26i xperia j',3,3,5,5,5,5,3,5,5,5,5
'nokia n76',4,4,4,4,4,4,4,4,4,4,4
'sony ericsson e15i xperia x8',1,5,5,5,5,5,5,11,11,11,11
'htc hero',1,5,5,5,5,5,5,11,11,11,11
'htc s710e g11 incredible s',3,3,5,5,5,5,10,10,10,10,10
'nokia 5250',4,4,4,4,4,4,4,4,4,4,4
'htc c720e one x',2,2,2,2,2,2,2,2,2,2,2
'sony ericsson st15i xperia mini',3,3,5,5,5,5,10,10,10,10,10
'htc one s',2,2,2,2,2,2,2,2,2,2,2
'htc z715e (g18) sensation xe',2,2,2,2,2,2,2,2,1,1,1
'nokia lumia 800',3,3,2,2,2,9,10,10,10,10,10
'rim blackberry q10',1,5,3,3,3,9,10,10,1,1,1
'samsung gt-i9103 galaxy s ii',3,3,3,3,3,3,3,5,5,5,5
'sony ericsson j220',4,4,4,4,4,4,4,4,4,4,4
'sony ericsson lt26i xperia s',2,2,2,2,2,2,2,2,2,2,2
'htc z710e / z715e (g14 / g18) sensation xe',2,2,2,2,2,2,2,2,1,1,1
'sony mt25i xperia neo l',3,3,5,5,5,5,10,10,10,10,10
'sony lt26i xperia s',2,2,2,2,2,2,2,2,2,2,2
'sony lt26i',2,2,2,2,2,2,2,2,2,2,2
'htc g16 chacha (a810e)',1,5,5,5,5,5,5,11,11,11,11
'rim blackberry 9520 storm ii',1,5,5,5,5,5,5,11,11,11,11
'nokia 1200',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-i5800 galaxy 3',1,5,5,5,5,5,5,11,11,11,8
'nokia 6600',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-i9300 galaxy s iii',3,1,1,1,1,1,1,1,12,12,12
'nokia c5-03',1,5,6,6,8,8,8,8,8,8,8
'nokia n86',1,5,6,6,6,6,6,6,6,8,6
'lg e510',1,5,5,5,5,5,5,11,11,11,11
'htc s510e desire s (saga)',3,3,5,5,5,5,10,10,10,10,10
'vinus v6',1,5,5,7,7,7,7,7,7,7,7
'nokia 5235',4,4,6,6,8,8,8,8,8,8,14
'samsung sgh-c406',4,4,4,4,4,4,4,4,4,4,4
'htc desire hd a9191',3,3,5,5,5,5,10,10,10,10,10
'nokia 5320 xpressmusic',4,4,6,6,6,6,6,6,6,6,14
'sony lt28h',2,2,2,2,2,2,2,2,2,2,2
'htc legend (a6363)',1,5,5,5,5,5,5,11,11,11,11
'sony c2105 xperia l',3,3,3,3,3,3,10,10,1,1,1
'motorola mb860 / mb861 / me860 atrix 4g',3,3,3,3,3,3,3,5,5,5,5
'motorola xt910 droid razr',2,2,2,2,2,2,2,2,2,2,2
'sony ericsson r800i xperia play z1i',3,3,5,5,5,5,10,10,10,13,13
'sony ericsson wt19i live with walkman',3,3,5,5,5,5,10,10,10,10,10
'htc s510e / g12 desire s',3,3,5,5,5,5,10,10,10,10,10
'nokia e50',4,4,4,4,4,4,4,4,4,4,4
'nokia c6-00',1,5,6,6,8,8,8,8,8,8,6
'tcl mobile tcl3688',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-i9070 galaxy s advance',3,3,5,5,5,5,3,5,5,5,5
'nokia 500',1,5,6,6,8,8,8,8,8,8,9
'samsung gt-i9001 galaxy s plus',3,3,5,5,5,5,10,10,10,10,10
'rim blackberry curve 8520',4,4,4,4,4,4,4,4,4,4,4
'nokia n97',1,5,6,6,8,8,8,8,8,8,6
'htc desire g7 (a8181)',1,3,5,5,5,5,5,5,5,5,5
'nokia c7-00',1,5,6,6,8,8,9,9,9,9,9
'htc x710e raider 4g velocity',3,3,3,3,3,3,10,10,1,1,1
'htc g7 desire z (a7272)',1,3,5,5,5,5,5,5,5,13,13
'rim blackberry bold 9780 onyx',1,5,6,6,6,6,6,6,6,11,11
'apple iphone4s',2,2,2,2,2,9,9,9,9,9,9
'samsung gt-n7100 galaxy note 2',3,1,1,1,1,1,1,1,12,12,12
'sony ericsson mt15i xperia neo',3,3,5,5,5,5,10,10,10,10,10
'lg p880 optimus 4x hd',3,1,1,1,1,1,1,1,12,12,12
'sony lt26ii xperia sl',2,2,2,2,2,2,2,2,2,2,2
'samsung gt-i9100g galaxy s ii',3,1,1,1,1,1,1,1,1,1,1
'nokia n95',1,5,6,6,6,6,6,6,6,6,6
'nokia e65',4,4,6,6,6,6,6,6,6,6,14
'nokia lumia 820',3,3,3,3,3,9,10,10,1,1,1
'sony l36h / c6603 xperia z',0,0,0,0,0,0,0,0,0,0,0
'nokia lumia 620',1,3,5,5,5,5,5,5,5,5,5
'rim blackberry bold 9780 onyx 2',1,5,6,6,6,6,6,6,6,11,11
'htc s720e one x',2,2,2,2,2,2,2,2,2,2,2
'htc g13 wildfire s (a510e)',1,5,5,5,5,5,5,11,11,11,11
'nokia 500 fate',1,5,6,6,8,8,8,8,8,8,9
'samsung gt-s5360',1,5,5,5,5,5,5,11,11,11,8
'nokia 6120 classic',4,4,6,6,6,6,6,6,6,6,14
'rim blackberry 8800',4,4,4,4,4,4,4,4,4,4,4
'samsung gt-s5360 galaxy y',1,5,6,6,8,8,8,8,8,8,8
'nokia n97-4 mini',1,5,6,6,8,8,8,8,8,8,6
'htc s710d droid incredible 2',3,3,3,3,5,5,10,10,10,10,10
'lg e960',0,0,0,0,0,0,0,0,0,0,0
'nokia n8',2,2,2,2,2,9,9,9,9,9,9
'samsung gt-i9250 galaxy nexus',3,3,3,3,3,3,3,3,3,3,3
'htc amaze 4g',3,3,3,3,3,3,10,10,1,1,1
'nokia 6650',4,4,6,6,6,6,6,6,6,6,14
'nokia 2730 classic',4,4,6,6,8,8,8,8,8,6,14
'nokia n73',4,4,6,6,6,6,6,6,6,6,14
'nokia 6085',4,4,4,4,4,4,4,4,4,4,4
'nokia 3110 classic',4,4,4,4,4,4,4,4,4,4,4
'nokia 5700 xpressmusic',4,4,4,4,4,4,4,4,4,4,4
'nokia n85',4,4,6,6,6,6,6,6,6,6,6
'samsung gt-i9082 galaxy grand duos',3,1,3,3,3,3,3,3,1,1,1
'nokia e75',1,5,6,6,6,6,6,6,6,6,6
'sony l36h / c6602 xperia z',0,0,0,0,0,0,0,0,0,0,0
'nokia 5230 xpressmusic',4,4,6,6,8,8,8,8,8,8,14
'htc evo 3d x515m',3,3,3,3,3,3,3,3,3,3,3
'htc g8 wildfire (a3333)',1,5,5,5,5,5,5,11,11,11,11
'nokia n97 mini',1,5,6,6,8,8,8,8,8,8,6
'nokia 6210 slide',4,4,6,6,6,6,6,6,6,6,14
'samsung gt-s8500 wave',1,3,3,3,3,3,3,3,3,3,3
'sony st25i xperia u',1,3,5,5,5,5,5,5,5,5,5
'motorola mb860 atrix 4g',3,3,3,3,3,3,3,5,5,5,5
'samsung gt-i9500 galaxy s4',0,1,1,1,1,1,1,1,12,12,12
'samyang gt-s5570 galaxy mini',1,5,5,5,5,5,5,11,11,11,11
'htc t328d desire vc',3,3,5,5,5,5,5,5,5,5,5
'htc c510e g15 salsa / weike',1,5,5,5,5,5,5,11,11,11,11
'nokia lumia 710',3,3,5,5,5,5,10,10,10,10,10
'rim blackberry bold 9700',1,5,6,6,6,6,6,6,6,6,14
'nokia 5530 xpressmusic',4,4,4,4,8,8,8,8,8,8,4
'nokia e72',1,5,6,6,6,6,6,6,6,6,6
'htc g6 legend (a6363)',1,5,5,5,5,5,5,11,11,11,11
'samsung gt-i9023 nexus s',1,5,5,5,5,5,5,5,5,5,5
'sony ericsson st18i xperia ray',3,3,5,5,5,5,10,10,10,10,10
'palm treo 650',4,4,4,4,4,4,4,4,4,4,4
'htc s720e one x (g23)',2,2,2,2,2,2,2,2,2,2,2
'nokia x6-00',1,5,6,6,8,8,8,8,8,8,9
'motorola mb300 / me600 (backflip / enzo / motus)',1,5,5,5,8,8,8,11,11,8,8
'htc x315e sensation xl',3,3,5,5,5,5,10,10,10,10,10
'sony mt27i xperia sola',2,2,2,2,2,2,2,2,2,2,2
'samsung sgh-i997 infuse 4g',3,3,3,3,3,3,3,3,3,3,3
'rim blackberry 9790 bold',3,3,6,6,6,6,6,6,6,10,10
'motorola me525 defy',1,3,5,5,5,5,5,5,5,5,5
'htc s710e incredible s',3,3,5,5,5,5,10,10,10,10,10
'sony ericsson sk17i xperia mini pro',3,3,5,5,5,5,10,10,10,13,13
'htc g11 / s710e incredible s',3,3,5,5,5,5,10,10,10,10,10
'nokia x6',1,5,6,6,8,8,8,8,8,8,9
'htc g7 desire (a8181)',1,3,5,5,5,5,5,5,5,5,5
'htc z710e g14 sensation',3,2,2,2,2,2,10,10,1,1,1
'nokia x7-00',1,2,2,2,2,9,9,9,9,9,9
'samsung gt-i9505 galaxy s iv',0,1,1,1,1,1,1,1,12,12,12
'lg p970 optimus black',1,3,5,5,5,5,5,5,5,5,5
